2015-05-04 21:44:29.606031 |      MouseMoveHooker |           NSMouseMoved | y=1593.7890625 x=419.1484375
2015-05-04 21:44:29.622432 |      MouseMoveHooker |           NSMouseMoved | y=1590.66015625 x=399.33984375
2015-05-04 21:44:29.639410 |      MouseMoveHooker |           NSMouseMoved | y=1588.57421875 x=369.10546875
2015-05-04 21:44:29.656660 |      MouseMoveHooker |           NSMouseMoved | y=1588.57421875 x=356.59765625
2015-05-04 21:44:29.674555 |      MouseMoveHooker |           NSMouseMoved | y=1588.57421875 x=347.21484375
2015-05-04 21:44:29.691511 |      MouseMoveHooker |           NSMouseMoved | y=1588.57421875 x=338.875
2015-05-04 21:44:29.709901 |      MouseMoveHooker |           NSMouseMoved | y=1588.57421875 x=335.74609375
2015-05-04 21:44:29.726424 |      MouseMoveHooker |           NSMouseMoved | y=1588.57421875 x=333.66015625
2015-05-04 21:44:29.744702 |      MouseMoveHooker |           NSMouseMoved | y=1589.6171875 x=333.66015625
2015-05-04 21:44:29.766796 |      MouseMoveHooker |           NSMouseMoved | y=1589.6171875 x=332.66015625
2015-05-04 21:44:29.821595 |      MouseMoveHooker |           NSMouseMoved | y=1590.6171875 x=331.66015625
2015-05-04 21:44:29.854835 |      MouseMoveHooker |           NSMouseMoved | y=1591.3125 x=330.96484375
2015-05-04 21:44:29.872818 |      MouseMoveHooker |           NSMouseMoved | y=1592.35546875 x=329.921875
2015-05-04 21:44:29.889151 |      MouseMoveHooker |           NSMouseMoved | y=1594.44140625 x=328.87890625
2015-05-04 21:44:29.907195 |      MouseMoveHooker |           NSMouseMoved | y=1594.44140625 x=327.83984375
2015-05-04 21:44:29.924473 |      MouseMoveHooker |           NSMouseMoved | y=1595.48046875 x=326.796875
2015-05-04 21:44:29.951015 |      MouseMoveHooker |           NSMouseMoved | y=1595.48046875 x=325.75390625
2015-05-04 21:44:30.061675 |      MouseMoveHooker |           NSMouseMoved | y=1595.48046875 x=325.05859375
2015-05-04 21:44:30.110788 |      MouseMoveHooker |           NSMouseMoved | y=1595.48046875 x=324.36328125
2015-05-04 21:44:30.126492 |      MouseMoveHooker |           NSMouseMoved | y=1595.48046875 x=323.3203125
2015-05-04 21:44:30.158495 |      MouseMoveHooker |           NSMouseMoved | y=1595.48046875 x=322.27734375
2015-05-04 21:44:30.161081 |      MouseMoveHooker |           NSMouseMoved | y=1594.44140625 x=320.19140625
2015-05-04 21:44:30.181563 |      MouseMoveHooker |           NSMouseMoved | y=1594.44140625 x=319.15234375
2015-05-04 21:44:30.197924 |      MouseMoveHooker |           NSMouseMoved | y=1594.44140625 x=318.109375
2015-05-04 21:44:30.287153 |      MouseMoveHooker |           NSMouseMoved | y=1593.44140625 x=318.109375
2015-05-04 21:44:30.303441 |      MouseMoveHooker |           NSMouseMoved | y=1592.3984375 x=317.06640625
2015-05-04 21:44:30.505395 |    MouseButtonHooker |        NSLeftMouseDown | y=1592.3984375 x=317.06640625
2015-05-04 21:44:30.522479 |    MouseButtonHooker |          NSLeftMouseUp | y=1592.3984375 x=317.06640625
2015-05-04 21:44:31.021735 |      MouseMoveHooker |           NSMouseMoved | y=1592.3984375 x=312.06640625
2015-05-04 21:44:31.039329 |      MouseMoveHooker |           NSMouseMoved | y=1590.3125 x=286.00390625
2015-05-04 21:44:31.056869 |      MouseMoveHooker |           NSMouseMoved | y=1587.18359375 x=239.08984375
2015-05-04 21:44:31.073421 |      MouseMoveHooker |           NSMouseMoved | y=1587.18359375 x=210.08984375
2015-05-04 21:44:31.090975 |      MouseMoveHooker |           NSMouseMoved | y=1587.18359375 x=140.58984375
2015-05-04 21:44:31.109841 |      MouseMoveHooker |           NSMouseMoved | y=1589.26953125 x=98.88671875
2015-05-04 21:44:31.126415 |      MouseMoveHooker |           NSMouseMoved | y=1591.35546875 x=71.78125
2015-05-04 21:44:31.153262 |      MouseMoveHooker |           NSMouseMoved | y=1592.3984375 x=57.1875
2015-05-04 21:44:31.162201 |      MouseMoveHooker |           NSMouseMoved | y=1592.3984375 x=44.67578125
2015-05-04 21:44:31.179627 |      MouseMoveHooker |           NSMouseMoved | y=1592.3984375 x=41.203125
2015-05-04 21:44:31.407784 |      MouseMoveHooker |           NSMouseMoved | y=1592.3984375 x=39.1171875
2015-05-04 21:44:31.425822 |      MouseMoveHooker |           NSMouseMoved | y=1586.140625 x=19.30859375
2015-05-04 21:44:31.444279 |      MouseMoveHooker |           NSMouseMoved | y=1569.4609375 x=-24.51953125
2015-05-04 21:44:31.460587 |      MouseMoveHooker |           NSMouseMoved | y=1560.078125 x=-64.13671875
2015-05-04 21:44:31.477339 |      MouseMoveHooker |           NSMouseMoved | y=1554.8671875 x=-113.1328125
2015-05-04 21:44:31.494228 |      MouseMoveHooker |           NSMouseMoved | y=1553.82421875 x=-141.28125
2015-05-04 21:44:31.511073 |      MouseMoveHooker |           NSMouseMoved | y=1553.82421875 x=-159.00390625
2015-05-04 21:44:31.528354 |      MouseMoveHooker |           NSMouseMoved | y=1553.82421875 x=-172.55859375
2015-05-04 21:44:31.545462 |      MouseMoveHooker |           NSMouseMoved | y=1553.82421875 x=-178.8125
2015-05-04 21:44:31.564239 |      MouseMoveHooker |           NSMouseMoved | y=1553.82421875 x=-180.8984375
2015-05-04 21:44:31.859684 |      MouseMoveHooker |           NSMouseMoved | y=1553.82421875 x=-181.8984375
2015-05-04 21:44:31.877610 |      MouseMoveHooker |           NSMouseMoved | y=1554.82421875 x=-182.8984375
2015-05-04 21:44:31.894580 |      MouseMoveHooker |           NSMouseMoved | y=1557.953125 x=-187.06640625
2015-05-04 21:44:31.911752 |      MouseMoveHooker |           NSMouseMoved | y=1562.12109375 x=-190.1953125
2015-05-04 21:44:31.929223 |      MouseMoveHooker |           NSMouseMoved | y=1564.90234375 x=-194.3671875
2015-05-04 21:44:31.947023 |      MouseMoveHooker |           NSMouseMoved | y=1568.02734375 x=-197.4921875
2015-05-04 21:44:31.963683 |      MouseMoveHooker |           NSMouseMoved | y=1571.15625 x=-199.578125
2015-05-04 21:44:31.980963 |      MouseMoveHooker |           NSMouseMoved | y=1573.2421875 x=-201.6640625
2015-05-04 21:44:31.998951 |      MouseMoveHooker |           NSMouseMoved | y=1576.37109375 x=-202.70703125
2015-05-04 21:44:32.016138 |      MouseMoveHooker |           NSMouseMoved | y=1580.5390625 x=-203.74609375
2015-05-04 21:44:32.033354 |      MouseMoveHooker |           NSMouseMoved | y=1584.5390625 x=-204.74609375
2015-05-04 21:44:32.666414 |      MouseMoveHooker |           NSMouseMoved | y=1584.5390625 x=-205.7890625
2015-05-04 21:44:32.683574 |      MouseMoveHooker |           NSMouseMoved | y=1587.66796875 x=-208.91796875
2015-05-04 21:44:32.700980 |      MouseMoveHooker |           NSMouseMoved | y=1591.8359375 x=-214.12890625
2015-05-04 21:44:32.717586 |      MouseMoveHooker |           NSMouseMoved | y=1597.05078125 x=-220.38671875
2015-05-04 21:44:32.735436 |      MouseMoveHooker |           NSMouseMoved | y=1600.17578125 x=-226.640625
2015-05-04 21:44:32.753668 |      MouseMoveHooker |           NSMouseMoved | y=1603.3046875 x=-231.8515625
2015-05-04 21:44:32.771348 |      MouseMoveHooker |           NSMouseMoved | y=1604.0 x=-235.328125
2015-05-04 21:44:32.789649 |      MouseMoveHooker |           NSMouseMoved | y=1604.0 x=-236.37109375
2015-05-04 21:44:32.806782 |      MouseMoveHooker |           NSMouseMoved | y=1604.0 x=-237.4140625
2015-05-04 21:44:32.849605 |      MouseMoveHooker |           NSMouseMoved | y=1605.04296875 x=-237.4140625
2015-05-04 21:44:33.186794 |    MouseButtonHooker |        NSLeftMouseDown | y=1605.04296875 x=-237.4140625
2015-05-04 21:44:33.192901 |    MouseButtonHooker |          NSLeftMouseUp | y=1605.04296875 x=-237.4140625
2015-05-04 21:44:33.547887 |      MouseMoveHooker |           NSMouseMoved | y=1605.04296875 x=-236.4140625
2015-05-04 21:44:33.565647 |      MouseMoveHooker |           NSMouseMoved | y=1605.04296875 x=-227.03125
2015-05-04 21:44:33.583108 |      MouseMoveHooker |           NSMouseMoved | y=1605.04296875 x=-210.3515625
2015-05-04 21:44:33.599979 |      MouseMoveHooker |           NSMouseMoved | y=1605.04296875 x=-184.2890625
2015-05-04 21:44:33.617053 |      MouseMoveHooker |           NSMouseMoved | y=1606.0859375 x=-155.09765625
2015-05-04 21:44:33.634723 |      MouseMoveHooker |           NSMouseMoved | y=1607.12890625 x=-134.24609375
2015-05-04 21:44:33.651342 |      MouseMoveHooker |           NSMouseMoved | y=1608.515625 x=-112.0078125
2015-05-04 21:44:33.668881 |      MouseMoveHooker |           NSMouseMoved | y=1608.515625 x=-96.3671875
2015-05-04 21:44:33.685848 |      MouseMoveHooker |           NSMouseMoved | y=1608.515625 x=-89.0703125
2015-05-04 21:44:33.702803 |      MouseMoveHooker |           NSMouseMoved | y=1608.515625 x=-81.7734375
2015-05-04 21:44:33.720080 |      MouseMoveHooker |           NSMouseMoved | y=1608.515625 x=-77.6015625
2015-05-04 21:44:33.737594 |      MouseMoveHooker |           NSMouseMoved | y=1607.515625 x=-76.6015625
2015-05-04 21:44:34.052118 |      MouseMoveHooker |           NSMouseMoved | y=1606.515625 x=-76.6015625
2015-05-04 21:44:34.069587 |      MouseMoveHooker |           NSMouseMoved | y=1602.34765625 x=-76.6015625
2015-05-04 21:44:34.086185 |      MouseMoveHooker |           NSMouseMoved | y=1599.21875 x=-76.6015625
2015-05-04 21:44:34.102929 |      MouseMoveHooker |           NSMouseMoved | y=1595.05078125 x=-75.5625
2015-05-04 21:44:34.120116 |      MouseMoveHooker |           NSMouseMoved | y=1592.96484375 x=-75.5625
2015-05-04 21:44:34.147642 |      MouseMoveHooker |           NSMouseMoved | y=1589.8359375 x=-75.5625
2015-05-04 21:44:34.155398 |      MouseMoveHooker |           NSMouseMoved | y=1587.75390625 x=-75.5625
2015-05-04 21:44:34.171890 |      MouseMoveHooker |           NSMouseMoved | y=1586.7109375 x=-75.5625
2015-05-04 21:44:34.188811 |      MouseMoveHooker |           NSMouseMoved | y=1586.015625 x=-75.5625
2015-05-04 21:44:35.222607 |    MouseButtonHooker |        NSLeftMouseDown | y=1586.015625 x=-75.5625
2015-05-04 21:44:35.242081 |    MouseButtonHooker |          NSLeftMouseUp | y=1586.015625 x=-75.5625
2015-05-04 21:44:35.712007 |      MouseMoveHooker |           NSMouseMoved | y=1586.015625 x=-74.171875
