Hooker 2015-05-02 16:52:10.318243 |      MouseMoveHooker |           NSMouseMoved | y=535.5859375 x=636.53515625
Hooker 2015-05-02 16:52:10.339717 |      MouseMoveHooker |           NSMouseMoved | y=536.28125 x=636.53515625
Hooker 2015-05-02 16:52:10.357739 |      MouseMoveHooker |           NSMouseMoved | y=536.28125 x=637.53515625
Hooker 2015-05-02 16:52:10.502789 |      MouseMoveHooker |           NSMouseMoved | y=535.2421875 x=637.53515625
Hooker 2015-05-02 16:52:10.518042 |      MouseMoveHooker |           NSMouseMoved | y=532.11328125 x=637.53515625
Hooker 2015-05-02 16:52:10.535000 |      MouseMoveHooker |           NSMouseMoved | y=527.9453125 x=637.53515625
Hooker 2015-05-02 16:52:10.554027 |      MouseMoveHooker |           NSMouseMoved | y=523.77734375 x=637.53515625
Hooker 2015-05-02 16:52:10.573720 |      MouseMoveHooker |           NSMouseMoved | y=518.56640625 x=637.53515625
Hooker 2015-05-02 16:52:10.588904 |      MouseMoveHooker |           NSMouseMoved | y=511.26953125 x=637.53515625
Hooker 2015-05-02 16:52:10.605148 |      MouseMoveHooker |           NSMouseMoved | y=503.62890625 x=637.53515625
Hooker 2015-05-02 16:52:10.623208 |      MouseMoveHooker |           NSMouseMoved | y=491.12109375 x=637.53515625
Hooker 2015-05-02 16:52:10.639892 |      MouseMoveHooker |           NSMouseMoved | y=476.53125 x=637.53515625
Hooker 2015-05-02 16:52:10.657852 |      MouseMoveHooker |           NSMouseMoved | y=461.94140625 x=637.53515625
Hooker 2015-05-02 16:52:10.675178 |      MouseMoveHooker |           NSMouseMoved | y=448.39453125 x=637.53515625
Hooker 2015-05-02 16:52:10.692419 |      MouseMoveHooker |           NSMouseMoved | y=446.39453125 x=637.53515625
Hooker 2015-05-02 16:52:10.873926 |      MouseMoveHooker |           NSMouseMoved | y=447.4375 x=637.53515625
Hooker 2015-05-02 16:52:10.892075 |      MouseMoveHooker |           NSMouseMoved | y=448.4375 x=637.53515625
Hooker 2015-05-02 16:52:11.675795 |      MouseMoveHooker |           NSMouseMoved | y=449.4765625 x=637.53515625
Hooker 2015-05-02 16:52:12.259492 |      MouseMoveHooker |           NSMouseMoved | y=448.78515625 x=637.53515625
Hooker 2015-05-02 16:52:12.284851 |      MouseMoveHooker |           NSMouseMoved | y=445.78515625 x=637.53515625
Hooker 2015-05-02 16:52:13.429958 |      MouseMoveHooker |           NSMouseMoved | y=444.78515625 x=637.53515625
Hooker 2015-05-02 16:52:13.443135 |      MouseMoveHooker |           NSMouseMoved | y=444.08984375 x=637.53515625
Hooker 2015-05-02 16:52:13.460071 |      MouseMoveHooker |           NSMouseMoved | y=444.08984375 x=642.74609375
Hooker 2015-05-02 16:52:13.474848 |      MouseMoveHooker |           NSMouseMoved | y=444.08984375 x=658.37890625
Hooker 2015-05-02 16:52:13.494466 |      MouseMoveHooker |           NSMouseMoved | y=445.12890625 x=690.6875
Hooker 2015-05-02 16:52:13.507512 |      MouseMoveHooker |           NSMouseMoved | y=450.33984375 x=731.33203125
Hooker 2015-05-02 16:52:13.525680 |      MouseMoveHooker |           NSMouseMoved | y=455.203125 x=770.93359375
Hooker 2015-05-02 16:52:13.544012 |      MouseMoveHooker |           NSMouseMoved | y=456.24609375 x=813.66015625
