Percentage,Application,Mouse,Keystrokes,Mouse_keystrokes,Baseline
50%,5.49E-01,6.58E-01,6.67E-01,6.49E-01,0.518796992
60%,7.08E-01,7.87E-01,8.09E-01,7.87E-01,0.528301887
70%,8.50E-01,9.55E-01,9.85E-01,9.10E-01,0.5375
80%,9.62E-01,9.33E-01,9.56E-01,9.33E-01,0.58490566
90%,9.26E-01,8.70E-01,8.26E-01,8.70E-01,0.444444444
