time: 2015-05-03 00:13:46, image_id: 7, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-03 13:50:14, image_id: 10, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-04 10:01:32, image_id: 8, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-04 10:31:57, image_id: 8, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-04 11:02:28, image_id: 18, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-04 11:32:48, image_id: 17, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-04 12:03:15, image_id: 6, cell_id: 2, pam_pa: 8, pam_na: 12, arousal: 4, valence: 2
time: 2015-05-04 12:33:41, image_id: 28, cell_id: 10, pam_pa: 6, pam_na: 10, arousal: 2, valence: 2
time: 2015-05-04 14:00:57, image_id: 45, cell_id: 15, pam_pa: 9, pam_na: 5, arousal: 1, valence: 3
time: 2015-05-04 14:31:27, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-04 15:01:48, image_id: 45, cell_id: 15, pam_pa: 9, pam_na: 5, arousal: 1, valence: 3
time: 2015-05-04 16:09:34, image_id: 8, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-04 16:45:42, image_id: 18, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-04 17:43:04, image_id: 17, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-04 17:45:45, image_id: 44, cell_id: 15, pam_pa: 9, pam_na: 5, arousal: 1, valence: 3
time: 2015-05-04 17:46:23, image_id: 45, cell_id: 15, pam_pa: 9, pam_na: 5, arousal: 1, valence: 3
time: 2015-05-04 23:34:43, image_id: 40, cell_id: 14, pam_pa: 5, pam_na: 9, arousal: 1, valence: 2
time: 2015-05-05 00:20:03, image_id: 44, cell_id: 15, pam_pa: 9, pam_na: 5, arousal: 1, valence: 3
time: 2015-05-05 00:57:29, image_id: 41, cell_id: 14, pam_pa: 5, pam_na: 9, arousal: 1, valence: 2
time: 2015-05-05 08:48:47, image_id: 45, cell_id: 15, pam_pa: 9, pam_na: 5, arousal: 1, valence: 3
time: 2015-05-05 09:18:52, image_id: 18, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-05 09:48:58, image_id: 17, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-05 10:19:01, image_id: 17, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-05 10:49:08, image_id: 18, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-05 11:19:18, image_id: 17, cell_id: 6, pam_pa: 7, pam_na: 11, arousal: 3, valence: 2
time: 2015-05-05 12:46:38, image_id: 14, cell_id: 5, pam_pa: 3, pam_na: 15, arousal: 3, valence: 1
time: 2015-05-05 13:06:54, image_id: 15, cell_id: 5, pam_pa: 3, pam_na: 15, arousal: 3, valence: 1
time: 2015-05-05 13:27:49, image_id: 10, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-05 13:57:35, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-05 14:59:03, image_id: 10, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-05 15:30:36, image_id: 8, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-05 16:00:45, image_id: 8, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-05 16:36:00, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 12:45:39, image_id: 12, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 13:15:20, image_id: 10, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 13:26:27, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 13:28:14, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 13:58:23, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 15:21:25, image_id: 19, cell_id: 7, pam_pa: 11, pam_na: 7, arousal: 3, valence: 3
time: 2015-05-06 15:51:24, image_id: 19, cell_id: 7, pam_pa: 11, pam_na: 7, arousal: 3, valence: 3
time: 2015-05-06 16:22:28, image_id: 7, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-06 16:52:26, image_id: 33, cell_id: 11, pam_pa: 10, pam_na: 6, arousal: 2, valence: 3
time: 2015-05-06 17:23:21, image_id: 6, cell_id: 2, pam_pa: 8, pam_na: 12, arousal: 4, valence: 2
time: 2015-05-06 18:01:48, image_id: 8, cell_id: 3, pam_pa: 12, pam_na: 8, arousal: 4, valence: 3
time: 2015-05-06 18:46:41, image_id: 11, cell_id: 4, pam_pa: 16, pam_na: 3, arousal: 4, valence: 4
time: 2015-05-06 18:56:44, image_id: 19, cell_id: 7, pam_pa: 11, pam_na: 7, arousal: 3, valence: 3
