timestamp, mouse move rate, click rate, mouse press time, function key rate, function key press time, letter key rate,letter key press time, enter key rate, enter key press time, tab key rate, tab key press time, space key rate,space key press time, delete key rate, delete key press time, escape key rate, escape key press time,arrow key rate, arrow key press time, total keys rate, total keys press time
1.430933290640321016e+09,1.414239760202450498e+02,2.500000000000000000e-01,2.855885028839111502e-03,1.333333333333333315e-01,2.234896024068196499e-02,5.000000000000000278e-02,5.585034688313801794e-03,1.666666666666666644e-02,1.066231727600097743e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,6.393798192342122280e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.333333333333333370e-01,3.539402484893798551e-02
1.430933350640321016e+09,2.737864256063166124e+01,5.000000000000000278e-02,7.939855257670084708e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.333333333333333037e-01,8.247903585433960516e-02,1.166666666666666685e-01,1.112096707026163749e-02,5.000000000000000278e-02,1.315701405207316162e-02,1.666666666666666574e-01,3.640178044637044225e-02,1.000000000000000056e-01,7.117263476053873814e-03,3.333333333333333287e-02,4.612664381663004846e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000089e+00,1.548887252807617243e-01
1.430933410640321016e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,6.684664885203043562e-03,1.800000000000000044e+00,2.266613324483235659e-01,1.166666666666666685e-01,1.202250321706136056e-02,5.000000000000000278e-02,9.681113560994466030e-03,3.166666666666666519e-01,8.383244276046752930e-02,2.999999999999999889e-01,8.947645823160807477e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.633333333333333304e+00,4.283585151036580219e-01
1.430933470640321016e+09,6.328311280156129648e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333333333333333315e-01,8.425935109456380440e-03,1.133333333333333304e+00,1.700268785158793039e-01,1.333333333333333315e-01,1.121546824773152727e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.333333333333333370e-01,4.718081156412760185e-02,1.333333333333333315e-01,1.095331509908040353e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.766666666666666607e+00,2.478024085362752205e-01
1.430933530640321016e+09,4.952074200562022099e+01,1.333333333333333315e-01,3.471903006235758232e-02,2.666666666666666630e-01,2.440915902455647810e-02,4.666666666666666741e-01,5.636742512385050502e-02,8.333333333333332871e-02,7.515438397725423061e-03,5.000000000000000278e-02,1.324729919433593681e-02,6.666666666666666574e-02,2.483470042546590331e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.333333333333333481e-01,1.263740221659342411e-01
1.430933590640321016e+09,1.796531298312147584e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.666666666666666574e-02,8.404544989267985142e-03,1.850000000000000089e+00,2.452887932459513476e-01,6.666666666666666574e-02,8.118069171905517925e-03,5.000000000000000278e-02,1.014983256657918213e-02,1.666666666666666574e-01,4.958404302597045621e-02,1.000000000000000056e-01,4.575138489405314313e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.299999999999999822e+00,3.672966678937276130e-01
1.430933650640321016e+09,4.648915373130382278e+01,8.333333333333332871e-02,6.916960080464681134e-04,2.000000000000000111e-01,2.091565529505411830e-02,1.600000000000000089e+00,1.912783702214558845e-01,1.000000000000000056e-01,1.123197078704834054e-02,1.666666666666666644e-02,3.035251299540201765e-03,2.500000000000000000e-01,9.220151503880819055e-02,6.666666666666666574e-02,4.563252131144206018e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.233333333333333393e+00,3.232260147730509625e-01
1.430933710640321016e+09,3.544152578388531794e+01,5.000000000000000278e-02,5.357821782430012515e-04,8.333333333333332871e-02,7.517902056376138918e-03,3.483333333333333393e+00,4.817701816558838113e-01,1.000000000000000056e-01,1.289716561635335240e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.666666666666666519e-01,1.166921575864156152e-01,1.000000000000000056e-01,6.000020503997802873e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.333333333333333037e+00,6.788776119550069543e-01
1.430933770640321016e+09,7.647713549683857082e+01,8.333333333333332871e-02,6.524801254272460504e-04,1.666666666666666644e-02,9.264508883158365741e-04,1.866666666666666696e+00,2.167234818140665598e-01,6.666666666666666574e-02,5.909268061319986921e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.833333333333333592e-01,1.556080261866251702e-01,5.000000000000000278e-02,2.575732866923014300e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.383333333333333304e+00,4.049245556195577023e-01
1.430933830640321016e+09,5.361913831865153668e+01,1.333333333333333315e-01,1.190706094106038426e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.666666666666666644e-02,1.724517345428466710e-03,1.666666666666666644e-02,2.261467774709065640e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333333333333333287e-02,3.985985120137532783e-03
